epoch,test_acc,test_auc,mean_train_acc,mean_train_auc,mean_train_crossentropy_loss_during_epoch
1,0.655279503,0.605294733,0.634023845,0.540268373,1.05277374
2,0.655279503,0.580107029,0.634023845,0.573206143,1.022076379
3,0.655279503,0.627672573,0.634962742,0.581490255,1.017029711
4,0.655279503,0.603824121,0.635230999,0.593006396,1.014393464
5,0.655279503,0.629777553,0.634828614,0.595365915,1.008739887
6,0.655279503,0.608549443,0.63442623,0.596458131,1.01040514
7,0.655279503,0.645365033,0.63442623,0.604089902,1.005258898
8,0.655279503,0.68160768,0.633889717,0.610318936,1.005436801
9,0.655279503,0.639298556,0.635230999,0.624215638,0.997051501
10,0.655279503,0.658704045,0.633487332,0.614103474,1.006363395
11,0.655279503,0.663541277,0.634962742,0.619659935,0.998931632
12,0.655279503,0.674815357,0.634694486,0.626641968,0.992760039
13,0.655279503,0.687114759,0.634023845,0.633953274,0.99381914
14,0.655279503,0.658182684,0.634694486,0.640542667,0.990677576
15,0.655279503,0.633430603,0.634292101,0.619937675,0.997122313
16,0.655279503,0.663405593,0.63509687,0.633583552,0.991219263
17,0.655279503,0.658520438,0.634962742,0.653830561,0.978719064
18,0.655279503,0.709967747,0.635633383,0.651379119,0.981330713
19,0.655279503,0.710622382,0.634560358,0.661341846,0.974005596
20,0.655279503,0.659225492,0.635499255,0.666319045,0.970613784
21,0.655279503,0.703034176,0.634828614,0.682085124,0.959335103
22,0.655279503,0.731720475,0.633859911,0.68680832,0.956605574
23,0.655279503,0.706027294,0.634321908,0.697558817,0.949346859
24,0.652173913,0.781834144,0.633755589,0.692291235,0.950391961
25,0.655279503,0.759443475,0.634828614,0.715556857,0.932870649
26,0.655279503,0.78325684,0.635484352,0.725951378,0.918898312
27,0.649068323,0.739036671,0.635722802,0.739056892,0.904682394
28,0.658385093,0.814296651,0.636125186,0.749026414,0.891545754
29,0.655279503,0.751728211,0.647719821,0.764971032,0.878185686
30,0.686335404,0.826987897,0.653070045,0.777460293,0.861748642
31,0.717391304,0.835389806,0.669031297,0.800172571,0.825724708
32,0.723602484,0.882097331,0.672831595,0.816251667,0.806490681
33,0.704968944,0.851581971,0.677928465,0.815565171,0.796874476
34,0.732919255,0.876522722,0.702280179,0.843546096,0.750626505
35,0.801242236,0.912860055,0.727555887,0.867659462,0.70339629
36,0.782608696,0.88680603,0.74733234,0.888441126,0.650099008
37,0.804347826,0.91254484,0.769105812,0.901523611,0.620725768
38,0.872670807,0.936398334,0.780134128,0.915984039,0.573103336
39,0.863354037,0.942597668,0.804769001,0.92930908,0.523571908
40,0.878881988,0.943525903,0.830670641,0.944789164,0.46976883
41,0.875776398,0.942832521,0.839269747,0.951135028,0.44082175
42,0.906832298,0.956893627,0.856393443,0.961995083,0.400945526
43,0.909937888,0.951618267,0.881341282,0.970441004,0.346027439
44,0.916149068,0.953666929,0.880417288,0.972236131,0.340612382
45,0.919254658,0.953117262,0.901415797,0.980028786,0.290512087
46,0.934782609,0.958216107,0.913070045,0.983342019,0.258363395
47,0.944099379,0.958861196,0.916467958,0.984999781,0.247778257
48,0.934782609,0.959772356,0.926706408,0.989033957,0.223801809
49,0.940993789,0.96074134,0.937749627,0.991075113,0.19659625
50,0.931677019,0.961957384,0.949731744,0.993063382,0.173872456
51,0.937888199,0.9690474,0.953532042,0.994260426,0.161957292
52,0.956521739,0.957819316,0.967436662,0.9973976,0.127971122
53,0.934782609,0.963808318,0.966214605,0.997210005,0.125441898
54,0.925465839,0.959667454,0.959791356,0.995855413,0.141164472
55,0.937888199,0.958320849,0.957585693,0.995482947,0.143557041
56,0.950310559,0.968274532,0.969210134,0.997205601,0.125383865
57,0.947204969,0.968852828,0.978718331,0.998924109,0.09335294
58,0.953416149,0.964306619,0.978837556,0.997469662,0.088833527
59,0.950310559,0.965904924,0.983934426,0.999446889,0.080803951
60,0.950310559,0.964861077,0.984947839,0.999182452,0.071700831
61,0.950310559,0.96872572,0.994918033,0.999855842,0.050925214
62,0.959627329,0.968986782,0.996721311,0.999930053,0.040238257
63,0.956521739,0.969010986,0.996721311,0.999866352,0.040922319
