epoch,test_acc,test_auc,mean_train_acc,mean_train_auc,mean_train_crossentropy_loss_during_epoch
1,0.655279503,0.566475453,0.632354694,0.546013013,1.055982286
2,0.655279503,0.558674943,0.634292101,0.577805664,1.028335757
3,0.655279503,0.586290242,0.634694486,0.569643787,1.02420009
4,0.655279503,0.490328954,0.634157973,0.58627799,1.019097596
5,0.655279503,0.57073225,0.634962742,0.586701822,1.016747708
6,0.655279503,0.601933505,0.634292101,0.6026176,1.010373798
7,0.655279503,0.604609284,0.63509687,0.625167943,0.998320364
8,0.655279503,0.619650469,0.634828614,0.635312078,0.994086963
9,0.655279503,0.627406617,0.63509687,0.630544063,0.993965004
10,0.655279503,0.579563501,0.635230999,0.645701438,0.984660453
11,0.655279503,0.616586106,0.634560358,0.645503051,0.988844675
12,0.655279503,0.638203271,0.634828614,0.650079542,0.982036376
13,0.655279503,0.648165386,0.634828614,0.666511843,0.976006382
14,0.655279503,0.645305008,0.634962742,0.666797417,0.971828239
15,0.655279503,0.635628148,0.634560358,0.671261521,0.966578937
16,0.655279503,0.630407469,0.634128167,0.678392402,0.963868426
17,0.655279503,0.674475482,0.634560358,0.667876205,0.968595955
18,0.655279503,0.632185918,0.634336811,0.689637498,0.953559227
19,0.655279503,0.694940486,0.635067064,0.703916104,0.942717781
20,0.655279503,0.713506581,0.633084948,0.712513569,0.938706871
21,0.661490683,0.67043935,0.63466468,0.713146468,0.932427057
22,0.645962733,0.730395621,0.637108793,0.727901618,0.915184937
23,0.655279503,0.712834408,0.635648286,0.731458752,0.915657416
24,0.645962733,0.729033361,0.638777943,0.753044054,0.892001132
25,0.633540373,0.77656483,0.642101341,0.758579322,0.882350846
26,0.661490683,0.737611598,0.645737705,0.770993961,0.868375327
27,0.645962733,0.679988814,0.647391952,0.770010993,0.87208665
28,0.661490683,0.76868528,0.661698957,0.792469303,0.832865818
29,0.655279503,0.774189012,0.659880775,0.796257303,0.828866332
30,0.689440994,0.793262978,0.666140089,0.813889311,0.802119484
31,0.686335404,0.809965616,0.679463487,0.830029416,0.774937596
32,0.698757764,0.80689727,0.683472429,0.837976047,0.758663177
33,0.726708075,0.847987487,0.696348733,0.853105686,0.722332706
34,0.723602484,0.8490852,0.69685544,0.856833794,0.716360694
35,0.745341615,0.869103385,0.725290611,0.889296246,0.638405565
36,0.770186335,0.843352141,0.717988077,0.876315024,0.677671276
37,0.745341615,0.867061159,0.757257824,0.909517582,0.583148757
38,0.829192547,0.906414426,0.766557377,0.913676366,0.562377172
39,0.763975155,0.878769286,0.793412817,0.932483755,0.514010359
40,0.835403727,0.919279597,0.798166915,0.938572196,0.490859286
41,0.798136646,0.91131875,0.807272727,0.944588591,0.47033738
42,0.838509317,0.901668187,0.840670641,0.955140928,0.410891729
43,0.872670807,0.942753116,0.848390462,0.960537156,0.394901952
44,0.841614907,0.931296977,0.869776453,0.972238292,0.34025284
45,0.878881988,0.938330944,0.883338301,0.976398007,0.302083509
46,0.841614907,0.937060102,0.886512668,0.977464466,0.299597574
47,0.919254658,0.945618786,0.893502235,0.980286442,0.27880904
48,0.888198758,0.947904988,0.905499255,0.982130853,0.264529517
49,0.909937888,0.933004059,0.921520119,0.988245383,0.20987307
50,0.844720497,0.930849583,0.922056632,0.989406153,0.205750091
51,0.897515528,0.940036248,0.933889717,0.992206341,0.172822421
52,0.906832298,0.943478644,0.922086438,0.988953671,0.206806651
53,0.919254658,0.956021007,0.943263785,0.992886559,0.149695741
54,0.881987578,0.926784089,0.937883756,0.99390367,0.163155452
55,0.916149068,0.953867372,0.938315946,0.992584893,0.162014171
56,0.925465839,0.948890332,0.944083458,0.99374955,0.154591795
57,0.913043478,0.958036254,0.950089419,0.996078869,0.128320473
58,0.894409938,0.95194347,0.963472429,0.997421523,0.10134019
59,0.928571429,0.947233094,0.961803279,0.997384546,0.101572064
60,0.909937888,0.944831002,0.952861401,0.995283862,0.126590567
61,0.940993789,0.955190384,0.970849478,0.998289453,0.077534763
62,0.937888199,0.955323039,0.985931446,0.999644079,0.039510399
63,0.947204969,0.953844747,0.986289121,0.999662268,0.038790424
64,0.934782609,0.951013425,0.984128167,0.999421936,0.042416035
65,0.931677019,0.953649389,0.98661699,0.999634591,0.038870881
66,0.928571429,0.952987026,0.984754098,0.999465809,0.043026445
67,0.925465839,0.951422952,0.987868852,0.999722239,0.034414546
68,0.937888199,0.950792075,0.98514158,0.999640306,0.03914863
69,0.937888199,0.952485663,0.985245902,0.999323117,0.043174012
